city_name,ZAPSANI_VOLICI,UCAST_PROC,P1_HLASY,P1_PROC,P2_HLASY,P2_PROC,P3_HLASY,P3_PROC,P4_HLASY,P4_PROC,P5_HLASY,P5_PROC,P6_HLASY,P6_PROC,P7_HLASY,P7_PROC,P8_HLASY,P8_PROC,P9_HLASY,P9_PROC,P10_HLASY,P10_PROC,P11_HLASY,P11_PROC,P12_HLASY,P12_PROC,P13_HLASY,P13_PROC,P14_HLASY,P14_PROC,P15_HLASY,P15_PROC,P16_HLASY,P16_PROC,P17_HLASY,P17_PROC,P18_HLASY,P18_PROC,P19_HLASY,P19_PROC,P20_HLASY,P20_PROC,P21_HLASY,P21_PROC,P22_HLASY,P22_PROC,P23_HLASY,P23_PROC,P24_HLASY,P24_PROC,P25_HLASY,P25_PROC,P26_HLASY,P26_PROC,population,Praha,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,Pardubice,Zlín,České Budějovice,Jihlava,Karlovy Vary
Hlučín,11018,68.32,14,0.18,12,0.16,7,0.09,11,0.14,9,0.12,546,7.34,15,0.2,63,0.84,10,0.13,8,0.1,1450,19.5,19,0.25,0,0.0,5,0.06,26,0.34,509,6.84,3,0.04,1,0.01,0,0.0,503,6.76,0,0.0,3256,43.8,633,8.51,0,0.0,326,4.38,7,0.09,13352,283.0,213.0,80.0,392.0,447.0,142.0,376.0,266.0,221.0,190.0,393.0,436.0,501.0
Hodonín,19337,63.13,0,0.0,44,0.36,10,0.08,19,0.15,5,0.04,1143,9.47,22,0.18,154,1.27,4,0.03,24,0.19,2400,19.9,30,0.24,0,0.0,10,0.08,44,0.36,852,7.06,13,0.1,2,0.01,0,0.0,658,5.45,0,0.0,5163,42.81,779,6.45,5,0.04,664,5.5,15,0.12,23517,195.0,58.0,102.0,313.0,308.0,67.0,304.0,178.0,138.0,59.0,332.0,184.0,442.0
Holešov,9287,67.26,0,0.0,5,0.08,4,0.06,9,0.14,5,0.08,629,10.15,14,0.22,91,1.46,3,0.04,13,0.2,1296,20.93,19,0.3,0,0.0,3,0.04,17,0.27,489,7.89,9,0.14,3,0.04,0,0.0,386,6.23,0,0.0,2233,36.06,553,8.93,0,0.0,400,6.45,11,0.17,11616,190.0,104.0,108.0,283.0,338.0,37.0,299.0,161.0,126.0,47.0,287.0,267.0,392.0
Hradec Králové,70487,71.77,0,0.0,0,0.0,26,0.05,39,0.07,27,0.05,3220,6.43,86,0.17,554,1.1,27,0.05,153,0.3,14404,28.8,0,0.0,0,0.0,64,0.12,235,0.46,5250,10.49,107,0.21,30,0.05,0,0.0,3093,6.18,0,0.0,14466,28.92,6072,12.14,0,0.0,2094,4.18,60,0.11,94311,90.0,128.0,176.0,204.0,146.0,101.0,185.0,0.0,16.0,182.0,206.0,167.0,312.0
Humpolec,8318,71.21,0,0.0,0,0.0,10,0.17,15,0.25,2,0.03,408,6.96,15,0.25,77,1.31,3,0.05,18,0.3,1238,21.12,0,0.0,0,0.0,4,0.06,28,0.47,459,7.83,0,0.0,9,0.15,0,0.0,369,6.29,0,0.0,2262,38.6,657,11.21,0,0.0,274,4.67,12,0.2,11522,161.0,146.0,303.0,263.0,277.0,242.0,240.0,192.0,171.0,293.0,281.0,67.0,404.0
Jablonec nad Nisou,34303,65.65,48,0.21,0,0.0,10,0.04,47,0.21,10,0.04,1964,8.83,27,0.12,236,1.06,11,0.04,56,0.25,4666,20.97,0,0.0,0,0.0,35,0.15,90,0.4,2100,9.44,0,0.0,21,0.09,0,0.0,1587,7.13,0,0.0,7242,32.56,3232,14.53,0,0.0,825,3.7,35,0.15,46209,184.0,290.0,335.0,311.0,20.0,286.0,148.0,155.0,174.0,396.0,352.0,310.0,290.0
Jaroměř,9469,62.35,0,0.0,0,0.0,5,0.08,5,0.08,1,0.01,476,8.17,6,0.1,67,1.15,1,0.01,18,0.3,1163,19.96,0,0.0,0,0.0,7,0.12,19,0.32,478,8.2,28,0.48,1,0.01,0,0.0,411,7.05,0,0.0,2254,38.68,626,10.74,0,0.0,255,4.37,5,0.08,12483,108.0,156.0,193.0,220.0,130.0,129.0,204.0,13.0,32.0,184.0,221.0,184.0,340.0
Jeseník,8905,65.27,0,0.0,9,0.15,4,0.06,3,0.05,4,0.06,604,10.52,9,0.15,48,0.83,2,0.03,11,0.19,1334,23.24,12,0.2,0,0.0,5,0.08,17,0.29,364,6.34,13,0.22,4,0.06,0,0.0,349,6.08,0,0.0,2204,38.41,429,7.47,0,0.0,305,5.31,8,0.13,10456,206.0,198.0,162.0,297.0,382.0,120.0,281.0,176.0,145.0,182.0,348.0,321.0,466.0
Jihlava,38054,69.25,0,0.0,0,0.0,25,0.09,60,0.23,11,0.04,2213,8.48,59,0.22,322,1.23,29,0.11,46,0.17,6950,26.64,0,0.0,0,0.0,34,0.13,144,0.55,2200,8.43,0,0.0,11,0.04,0,0.0,1565,5.99,0,0.0,8442,32.36,2825,10.82,0,0.0,1106,4.23,43,0.16,54624,138.0,121.0,297.0,240.0,258.0,214.0,217.0,168.0,144.0,264.0,135.0,0.0,381.0
Jindřichův Hradec,16417,67.3,15,0.13,0,0.0,5,0.04,19,0.17,3,0.02,946,8.63,10,0.09,136,1.24,2,0.01,18,0.16,2540,23.19,14,0.12,0,0.0,6,0.05,55,0.5,882,8.05,8,0.07,4,0.03,0,0.0,632,5.77,0,0.0,3866,35.3,1216,11.1,0,0.0,561,5.12,12,0.1,20540,130.0,194.0,343.0,177.0,292.0,280.0,221.0,233.0,192.0,332.0,56.0,78.0,326.0
